ef1bcb820515464f3701c74a7b3dda2fa3b1d1e8,Serhiy Storchaka,2018-04-25,Clean up the C code.
831764b485060d11f903e050904d53ac42337d16,Bob Ippolito,2018-04-25,Fix the other comment typos
3e5e4420f7de79956c1ec2d909e994ab142c2930,Bob Ippolito,2018-04-25,fix comment typos
1c22a813294d98176decb516dcd5834a09f79c32,Serhiy Storchaka,2018-04-25,Bypass the decode() method in bytes subclasses.
7c7b77d4beae7d2c69947fb1374177ce2095af4e,Serhiy Storchaka,2018-04-25,Support builds without cStringIO.
4af3c417547b4a0505e4b1baa5dbd360b7665e7e,Bob Ippolito,2018-04-24,Merge pull request #216 from simplejson/bytes-encoding
12e30827bc6224a133a1ccfb977c0bccb0c84576,Serhiy Storchaka,2018-04-25,Allow to disable serializing bytes by default in Python 3.
2ec708bbc884b956c453eb057547cf0150294be9,Bob Ippolito,2018-04-24,Merge pull request #215 from simplejson/compat
2cd78252932f41a665deaf0ce8f194723c91919c,Bob Ippolito,2018-04-24,Merge pull request #214 from simplejson/tempfile-py25
51b69877435b8503b0400eb54461cded7f103ecb,Serhiy Storchaka,2018-04-24,Simplify compatibility code.
32bc1a74a52c0ac81fd65d3f08a4dd94489bf32e,Serhiy Storchaka,2018-04-24,Fix tests in Python 2.5.
729945a655b2c351ad4c91293a494c066f3bb152,Bob Ippolito,2018-04-21,v3.14.0
967a3b33f6df1eb360cb41753f859c5ba309e09e,Bob Ippolito,2018-04-09,Merge pull request #212 from richvdh/rav/defer_is_rawjson_test
17c8dedb66001dc89cb219b1dc1194d0a815b9d3,Richard van der Hoff,2018-04-03,Defer is_raw_json test
ca2f85ed1f6a7d7679af942faa695f95c30ccbda,Bob Ippolito,2018-04-02,Merge pull request #211 from richvdh/rav/fix_linebreak_encoding
3309d122f922540102da1463744e1ad54c3ccb18,Richard van der Hoff,2018-03-29,Remove redundant parts of ESCAPE and ESCAPE_DCT
f3ac28677376720c84f60cb74dd9f1ba8fd4f807,Richard van der Hoff,2018-03-29,documentation updates
e45a6ae5df74d0881d9d9e5f6cd28e6c4d336637,Richard van der Hoff,2018-03-29,Update documentation for JSONEncoderForHTML
8ea5f90e6eadcf6a1ce4bb3908e954f7253aa3ae,Richard van der Hoff,2018-03-29,Improve docstring on JSONEncoderForHTML
05b8f6dfdfcf49cc1f7ebf8bbb38b7be274ad40f,Richard van der Hoff,2018-03-29,Simplify ESCAPE regexp construction
19012377f349da419f80e91ecd41d5f09f90d32b,Richard van der Hoff,2018-03-29,Avoid escaping U+2028 and U+2029 without ensure_ascii
0406430cbcb0e31d27bd064db57837b94ed05294,Bob Ippolito,2018-03-27,Update CHANGES.txt and increment version to 3.13.3
d6b29ef522df2c3f7e26718e8578c89e9d733d83,Bob Ippolito,2018-03-27,Merge pull request #210 from richvdh/rav/avoid_string_copy
4e4ee05652472acb3bde31c5ad138b35d6c7dce9,Richard van der Hoff,2018-03-27,Avoid copying strings when encoding
6ffddbe5ed6e4e72fbc7f6023439227970139159,Bob Ippolito,2017-12-10,Merge pull request #199 from simplejson/setup-classifiers
3b26a2e989ebb6c5658d73eebf65fa3648d27832,Serhiy Storchaka,2017-12-03,The classifier parameter in setup.py must be a list.
3cf08530a1be05cbaa80b167fe7f335b13cbc869,Bob Ippolito,2017-11-24,v3.13.2
21bb1ebff80400309952a9353698802b762a4984,Bob Ippolito,2017-11-24,maybe fix windows 2.x build
42ec87d0a3c14b8d4536900868e6a95d96431672,Bob Ippolito,2017-11-24,v3.13.1
518401fc950fb76848f9a170e3cfb35b5dfcfbff,Bob Ippolito,2017-11-24,fail build in CI if speedups do not build correctly
708026ea6ee10ffa15b9a28d5b06bb9b45a9da24,Bob Ippolito,2017-11-24,Merge pull request #194 from simplejson/speedups-compile-error-2.7
888ddb08ff0ed2e37138a2bae4927c7d6917ba74,Serhiy Storchaka,2017-11-24,Fix a compile error on 2.x. Closes #193.
dd1762e1b9bbdca4a35df0b016167796505d56a4,Bob Ippolito,2017-11-23,also upload tarball
c165de2f020b34ff335339fb12e618acea384914,Bob Ippolito,2017-11-23,build sdist from travis
6e0bd8e88b56b0bb3b67b092972acdbab1f6b202,Bob Ippolito,2017-11-23,fix artifact matching
a957ff6cd638213d559674035262133a2b842be8,Bob Ippolito,2017-11-23,fix appveyor.yml
d53d0c6e23171a62f4a26094b2f23f36eb4d3fe4,Bob Ippolito,2017-11-23,Fix string encoding for Python 2
47bb9950941aed34aef4fcad3fd20a2585c696f2,Bob Ippolito,2017-11-23,Ensure that encoding text subtypes is consistent with or without speedups. Fixes #185
0fd73bc8c6ad200754cce837ba8c97715e95ee25,Bob Ippolito,2017-11-23,update CHANGES
9127262d5c5ddc572c298ecd9f99fd426a9e9584,Bob Ippolito,2017-11-23,Merge pull request #191 from simplejson/type-error-messages
db043ca417f328f3bfc1ce36ab0ea8bab9f257c5,Bob Ippolito,2017-11-23,update appveyor config
5c57849b24fae8c071cbf62f205046d8120a0c80,Serhiy Storchaka,2017-11-23,Add tests.
83c36e41df1f3187e7aaabd88453f2f03c1b803b,Bob Ippolito,2017-11-23,Update version, add *.pyd to gitignore
5b74a43375bb2597b047e546d6cab778100d1861,Bob Ippolito,2017-11-23,Workarounds for NamedTemporaryFile issues with Windows for tool tests
61fae0c2dac6a0769a0b6e49320e613e498adc11,Bob Ippolito,2017-11-23,v3.12.1
029bc2bf1a12146082a9c453d5965be0b7266dc6,Bob Ippolito,2017-11-23,update artifacts.py to avoid none-any wheels
a2fd6a11dd4d9444ce745fad4263d10766c5a454,Bob Ippolito,2017-11-23,added editorconfig
529268f5098810d6d7f589b63d0e7c3ad47102d7,Bob Ippolito,2017-11-20,Merge pull request #188 from simplejson/bpo-31505
6df3ec19a81029ef035266a96505f814d8d6ccac,Serhiy Storchaka,2017-11-10,Make TypeError messages contain type name instead of a repr. The failure depends on the type, not on the value of an object.
138a2ff3f6db37468f3c7509f69c984792fd49a0,Serhiy Storchaka,2017-11-06,bpo-31095: fix potential crash during GC (#187)
113039ae96e670b8f7441d5b1d2c40d9b0b75f56,Serhiy Storchaka,2017-11-06,Fix a reference leak when sort keys. (#186)
eb9665a751e8aea21aeedea02ae6617ff53eeaad,Serhiy Storchaka,2017-11-06,Fix a test.
5decd38112c02dbd646c2d13b9563460ee15eb4b,Serhiy Storchaka,2017-11-06,bpo-31505: Fix an assertion failure in json, in case _json.make_encoder() received a bad encoder() argument. Original patch by Oren Milman.
ef4015d1d997c234d2bb604b4d858e04cdbceeb3,Bob Ippolito,2017-11-05,Add Python 3.6.3 to appveyor
0d36c5cd16055d55e6eceaf252f072a9339e0746,Bob Ippolito,2017-11-05,Fix #184 threaded import issue, prep v3.12.0
db2a216a858e8fd2cbfd53ac52c7972e5d3b3c5a,Bob Ippolito,2017-07-08,see if pypy will install without dist: trusty
e529046d4c7cb1f3b15fe41bfcdb1a0628a25a86,Bob Ippolito,2017-07-08,newer versions are not in pyenv for some reason
9d566ea16567b1834e9708fb3fd1aa98dea2d72e,Bob Ippolito,2017-07-08,sudo: false
362113aafa91ea2825b56fb5933db57e2914cac2,Bob Ippolito,2017-07-08,Add pypy3 and update osx python versions
371261e3a0ae832d6d9aa2f34c20d82a5c10106d,Bob Ippolito,2017-07-08,Merge pull request #179 from taleinat/patch-1
833c84dce6ed3a6d06851ae47bf3cced5b77a031,Bob Ippolito,2017-07-08,Merge pull request #180 from felixonmars/fix-typo
